spec,block,seed,status,run_dir,trainable_params,adapter_params,blocks_adapted,best_val_epoch,best_val_macro_f1,test_accuracy,test_weighted_f1,test_macro_f1,test_mmae,runtime_s,f1_NoAg,f1_GAg,f1_PAg,f1_RAg,f1_Oth
b09,9.0,42,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-193742_abl_b09_s42,101697,99136,1,5,0.6734377165090317,0.6524725274725275,0.6525917143578532,0.6614364773450057,0.8163111267644718,148.5,0.5856079404466501,0.6148148148148148,0.8032786885245901,0.7941176470588236,0.5093632958801497
b10,10.0,42,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-194010_abl_b10_s42,101697,99136,1,6,0.6772779346297366,0.6373626373626373,0.6348341453425925,0.6444827243428811,0.8442468598498529,148.7,0.5527065527065528,0.6351351351351351,0.7651515151515152,0.8089887640449439,0.460431654676259
b11,11.0,42,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-194239_abl_b11_s42,101697,99136,1,8,0.67533856226874,0.625,0.6248077195859766,0.6325626929338045,0.9265861803493844,148.9,0.5749999999999998,0.615916955017301,0.7808764940239042,0.7559055118110236,0.4351145038167939
all,,42,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-194508_abl_all_s42,1192193,1189632,12,10,0.6980905095060708,0.6442307692307693,0.6451757873205433,0.653050796917063,0.8348027974568467,149.7,0.5861182519280205,0.6137184115523466,0.776,0.7786259541984732,0.5107913669064749
head_only,,0,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-194810_ablseed_head_only_s0,2561,0,0,6,0.6652393898772745,0.6208791208791209,0.6242644640086347,0.634579834661299,0.9237942588514774,147.9,0.5319148936170213,0.6180555555555556,0.7782101167315176,0.7704918032786886,0.4742268041237113
head_only,,1,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-195037_ablseed_head_only_s1,2561,0,0,8,0.6653034078349254,0.6277472527472527,0.6278301137044521,0.6366537082559992,0.914944215604427,153.6,0.558974358974359,0.6199261992619927,0.7751937984496126,0.7709923664122137,0.45818181818181813
b00,0.0,0,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-195311_ablseed_b00_s0,101697,99136,1,6,0.6730249825823708,0.6318681318681318,0.6325943991630457,0.6413064803167615,0.8924710852527754,150.1,0.556390977443609,0.6240601503759398,0.7604562737642586,0.7656250000000001,0.5
b00,0.0,1,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-195541_ablseed_b00_s1,101697,99136,1,5,0.6706636792693554,0.614010989010989,0.617694005054584,0.6279814948415278,0.9320781429056076,150.6,0.5191740412979352,0.6083650190114069,0.7540983606557378,0.7611940298507464,0.49707602339181284
b08,8.0,0,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-195812_ablseed_b08_s0,101697,99136,1,6,0.6751156326509734,0.6497252747252747,0.6526574813085547,0.6600379675327485,0.8635533114186285,148.6,0.6108374384236454,0.6058394160583941,0.803347280334728,0.7890625000000001,0.4911032028469751
b08,8.0,1,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-200040_ablseed_b08_s1,101697,99136,1,5,0.6823106643000897,0.6387362637362637,0.6380106756137977,0.6489717057396591,0.8668759741823122,149.1,0.5400593471810089,0.5970149253731343,0.7854251012145749,0.8098591549295774,0.5125
all,,0,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-200309_ablseed_all_s0,1192193,1189632,12,9,0.6960214072943768,0.6456043956043956,0.6469338305742743,0.6554143245625661,0.8238781611580908,149.5,0.5752688172043011,0.6285714285714287,0.7710843373493976,0.7849056603773584,0.5172413793103449
all,,1,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-200539_ablseed_all_s1,1192193,1189632,12,4,0.6823905477203327,0.6510989010989011,0.6507123294162798,0.659304127057315,0.8296196589990604,150.7,0.5819209039548022,0.6293706293706294,0.7935222672064778,0.7813620071684588,0.5103448275862069
